Name,type,ratings,latitude,longitude,place_id
# COORD REPETIDA
Alquiler de cocheras.,car_rental,1,-31.4502031,-60.9347691,ChIJMQ4JnswTtZURRgZGl9k5RFU
Cocheras de alquiler temporario y lavadero de autos.,lodging,0,-31.4502031,-60.9347691,ChIJMXLxhdYTtZURhy6_dMF_4HY
Diario el Colono del Oeste,,10,-31.450087,-60.9333339,ChIJBy1NAz0TtZUR19paTW2X2R8
Remises Esperanza,,13,-31.449915,-60.9333339,ChIJBQOdAz0TtZUR8ZduRHRrLro
Sergio Eckard - Muebles de Algarrobo y Jardin,,0,-31.449915,-60.9333339,ChIJBQOdAz0TtZURUDLQZRWsbAw
Radio Fm Dinamica 96.9 Mhz,,0,-31.449915,-60.9333339,ChIJBQOdAz0TtZURv1EiHCL7Ri8
Transporte Diego Sa Exclusividad Shell,,0,-31.449915,-60.9333339,ChIJBQOdAz0TtZURdxIxKFUCDdY
Hogar de Larga Estadia Dulce Amanecer,hospital,0,-31.449915,-60.9333339,ChIJBQOdAz0TtZUReipPzgf9Beo
El Jadol SA,,0,-31.449915,-60.9333339,ChIJBQOdAz0TtZUR2insX_mN7Dk
Geriatrico Hogar el Abuelo,,0,-31.449915,-60.9333339,ChIJBQOdAz0TtZURYxWZh-JSfBk
Bertoia Reparaciones,,0,-31.449915,-60.9333339,ChIJBQOdAz0TtZURDiBtizOt2NY
Hogar de Ancianos Rincon de Luz,,0,-31.450087,-60.9333339,ChIJBy1NAz0TtZURXCs8NiVwb6Y
Esperanza Maquinarias Implementos Agricolas,,0,-31.450087,-60.9333339,ChIJDfb30xcTtZURONfqK52LMSo
Hector Roland - Carpinteria de Obra Escaleras Artisticas,,0,-31.450087,-60.9333339,ChIJBy1NAz0TtZURViLDMxp-_qg
Radio Iguana 97.7 - Lrp 996,,1,-31.450087,-60.9333339,ChIJBy1NAz0TtZURLrdk5b-4MRo
Marmoleria Kaiser,,0,-31.450087,-60.9333339,ChIJBy1NAz0TtZUREk1g_QVpaKc
Lrm 956 Fm Aaron Castellanos 106.9 Mhz,,21,-31.449915,-60.9333339,ChIJBQOdAz0TtZURyHUnkvKGCBs
Lonera Esperanza,,0,-31.449915,-60.9333339,ChIJBQOdAz0TtZURPtlzTk6blpg
Asociacion del Litoral de Entidades de Control Lechero,,0,-31.4489859,-60.9303662,ChIJ3cFKBT0TtZURxVgE_f1iEgg
Credife,,0,-31.4489859,-60.9303662,ChIJDfb30xcTtZURMLQOdBIx43A
Club Alma Juniors,,74,-31.4489859,-60.9303662,ChIJDfb30xcTtZURGYR3dTpCWRQ
Cordoba,,0,-31.4489859,-60.9303662,ChIJ3cFKBT0TtZURaSElpBfFkzI
Triangulo Color,,2,-31.4489859,-60.9303662,ChIJ3cFKBT0TtZURYk97PyiNEr4
ABS Argentina SA,,0,-31.448986,-60.930366,ChIJDfb30xcTtZURozlzi5m5IAU
Banco Macro,bank,1,-31.4489859,-60.9303662,ChIJDfb30xcTtZURHsG0rfxchhI
Fm Muebles de Estilo,furniture_store+home_goods_store,1,-31.4489859,-60.9303662,ChIJDfb30xcTtZURCUjaHzhCrz4
Muebleria Sym,furniture_store+home_goods_store,0,-31.4489859,-60.9303662,ChIJDfb30xcTtZURouOGIzumK9c
las parejas Santa fe,shopping_mall,0,-31.448986,-60.930366,ChIJk5NH-nATtZURM0SeU5CBkrs
Esperanza 2,,0,-31.448986,-60.930366,ChIJBULHVPoTtZUR3lRCugyJPM0
Vittorio,clothing_store,1,-31.448986,-60.930366,ChIJ8fX30xcTtZUR6QJD60vHU-4
Balcarse,,0,-31.4489859,-60.9303662,ChIJsT84iCgTtZURDQ0IFmDM92A
Esperanza,,0,-31.4489859,-60.9303662,ChIJl4r8GrETtZURGe8HQ_A-lFo
Garcia Marcelo,,0,-31.4489859,-60.9303662,ChIJy-ntvX8TtZURSVOecwgKY2E
Rafaela Y 9 De Julio.Tienda,clothing_store,1,-31.4489859,-60.9303662,ChIJDfb30xcTtZURdeQCuahDtO8
Fundación Instituto Tecnológico "El Molino",,14,-31.4554133,-60.9301742,ChIJ3cFKBT0TtZURFs8F_Tiglpg
Cámara Empresaria de Autotransporte de Cargas Esperancina,electronics_store+home_goods_store,0,-31.4554133,-60.9301742,ChIJ3cFKBT0TtZURgztxi5aWECo
Jardin Maternal Barrio Sur,school,0,-31.4554133,-60.9301742,ChIJEaYLoxgTtZUR9cgKYiPZVSE
Fiambreria Toto,,14,-31.4517296,-60.9181568,ChIJq8VUSzoTtZUR1zR-d1OAKwo
Hospital de Salud Animal,university,0,-31.4402927,-60.9410333,ChIJgVPNAg4TtZURHCKmPfXVU70
WoodArt,,0,-31.4613841,-60.9391623,ChIJ7xs76zYTtZURE_LhwOsS84Q
WoodArt,,0,-31.4613841,-60.9391623,ChIJhylkNqATtZUR7C6Uv3KbWic
imaginaciondemadera,,0,-31.4613841,-60.9391623,ChIJTeJHzmETtZURc9ogpcZxIVE
Zapatos En Esperanza,,0,-31.4421439,-60.9272285,ChIJz_Lo-hQTtZURQJagbvxhSe4
Calzados En Esperanza,,0,-31.4421439,-60.9272285,ChIJz_Lo-hQTtZURiiVeZA-QyYk
Cuero,,0,-31.4421439,-60.9272285,ChIJz_Lo-hQTtZURg5_yERlHv1E
C.I.C.A.E,,102,-31.4437064,-60.9230528,ChIJuTIokz0TtZUREivD1zSqX6c
ACADER,,0,-31.4437064,-60.9230528,ChIJrbJC2xMTtZURDd_TTkiVEyQ
Centro Industria; Comercio Y Afincados De Esperanza,,0,-31.4437064,-60.9230528,ChIJrbJC2xMTtZURJBNKsBXZrKk
Red del Mueble y la Madera,furniture_store+home_goods_store,0,-31.4437064,-60.9230528,ChIJrbJC2xMTtZURk8_WbmOOoWQ
Supermercado Dar,supermarket+grocery_or_supermarket,0,-31.4461584,-60.9147091,ChIJPW8EQA8TtZURQgnY7krHCc8
Galcor Neumaticos,car_repair,1,-31.4461584,-60.9147091,ChIJPW8EQA8TtZUR1Zo1DX0VJf8
# POSIBLES REPETIDOS
Lavadero san cayetano,car_wash,1,-31.4483476,-60.9349018,ChIJJQXJYeITtZURPpq1zTisB5s
Panaderia la Ideal,grocery_or_supermarket,9,-31.448815,-60.934945,ChIJDfb30xcTtZURpaG7tcSvK6o
Arena,liquor_store,0,-31.448095,-60.9348805,ChIJd6GSPUATtZURihFchjpmr-8
