Name,type,ratings,latitude,longitude,place_id
"La Laura"Fiambreria,shopping_mall,7,-31.4522664,-60.9354269,ChIJqzARKWATtZURvE5E8N6Tz4o
Establecimiento La LAURA,,18,-31.452317,-60.935399,ChIJyZmgXtkTtZUR5K7pVLbBV2E
Urbano Cortes Peluqueria Masculina,hair_care,5,-31.4525653,-60.9353773,ChIJEai6TCMTtZURuJINwB-8KMA
ALDANA BERTOLOTTI,clothing_store,0,-31.452559,-60.9353377,ChIJAVzE7GwTtZURnvMbFj3nN-E
Chapa y Pintura "Total Car´s",,0,-31.4522862,-60.9363442,ChIJy7XGvqUTtZURboMpkl0eZX8
Be'llos Panadería Artesanal,bakery,5,-31.4526349,-60.9353604,ChIJQayoTyYTtZURyqjQKLyN7Kk
Distribuidora Esperanza Productos Alimenticios,,2,-31.4523381,-60.9363599,ChIJDfb30xcTtZURluj9v7NERdw
Picotea,clothing_store,5,-31.4519213,-60.9362144,ChIJ5xyEpjwTtZURpMOYAi2ly50
Fapp - Feria Americana para Peques,clothing_store,66,-31.4512619,-60.93581,ChIJVdu4VoYTtZURCFBcOcvsO_g
VAGUITOS JUEGOS INFLABLES; ACUATICOS Y MECANICOS,,2,-31.4509483,-60.9359574,ChIJ-Z1NPNsTtZURS7ym14i0RpI
Consultorios TOTONI,,1,-31.4507316,-60.9358739,ChIJbZk4EEYTtZURxMoT8hs2xvY
autosusados.club,,1,-31.4505647,-60.9358234,ChIJj8aXsqkTtZURrHfuN5sA72U
Maurinik,bar,6,-31.4524239,-60.9349564,ChIJnZv1gocTtZURPiUAAsuPK1s
Hogar Limpio Hogar,home_goods_store,0,-31.453092,-60.9353342,ChIJxSix42oTtZURWd1H-tqnKLA
Salón del Reino de los Testigos de Jehová,,0,-31.4511009,-60.934925,ChIJFWq4Ut8TtZURaszHQ03CPS4
Marisa,clothing_store,1,-31.4505861,-60.9352146,ChIJgTqakjwTtZURXz56MdOGGug
HOGAR VIRGEN DEL ROSARIO DE SAN NICOLAS,lodging,0,-31.4505861,-60.9352146,ChIJW6MRc4YTtZURQ-L1y-uQ5KE
Hogar Virgen del Rosario de San Nicolas,,0,-31.4505875,-60.9352901,ChIJn2PLbA4TtZURF08B3PI7eY8
Registro Seccional 2 Esperanza,,33,-31.4506238,-60.9353451,ChIJ6fpxkjwTtZURIjR8wjtQ6D0
Cruzmar SRL,travel_agency,26,-31.4507949,-60.9348447,ChIJBy1NAz0TtZUR56o3lRQIoG8
Emisora la Ciudad SRL,,3,-31.4497452,-60.9349021,ChIJX6FdV_0RtZURMN5a0tw9HrI
Bunker Big Box,gym,16,-31.4497293,-60.935048,ChIJ3cXPXzwTtZURZ5KF__9E-uU
Flash1 Sonido e Iluminacion,,3,-31.4497652,-60.9353169,ChIJ3TqoYTwTtZURFST_dY5GRGw
Buril Joyeria Artesanal,jewelry_store,3,-31.4496816,-60.9351842,ChIJv_iU0boTtZURH4Dj5H8lf1M
FM 101.1 Ciudad,,8,-31.4497607,-60.9349068,ChIJQ9B1XzwTtZURbweszG5lFaY
RANDOM SPORT,clothing_store,1,-31.4497254,-60.9349152,ChIJkYIqdgoTtZURIkZ6PeMDYO8
Maskots,veterinary_care,2,-31.4496415,-60.9352849,ChIJ16jZNS0TtZUR3Mnsw4-QWOs
Estudio Jurídico Kröhling,lawyer,1,-31.449745,-60.934827,ChIJbUnuPV0HtZURHE23IChyDTE
Veterinaria Doble M,veterinary_care,71,-31.4502031,-60.9347691,ChIJU1WfCTwTtZURIcyAqoiX9JE
Artística IluminArte,book_store,6,-31.4499693,-60.9356422,ChIJk0AC1EITtZURQ7ghtlG6fx8
ANSES,local_government_office,60,-31.4492999,-60.9353176,ChIJhcQGZDwTtZURantKhCJl6xk
Arcoíris Pañalera,clothing_store,10,-31.4485801,-60.9352257,ChIJNVlzRowTtZURxEJyc8oMAdE
Rincon Criollo,grocery_or_supermarket,4,-31.4483954,-60.9351688,ChIJ21mbTTUTtZURvrqVt_wV874
Hugo R Walker,,2,-31.4487259,-60.9351845,ChIJ7-2LajwTtZUR0xTGQpebIJo
Accesorios Rossi Esperanza,,0,-31.4487144,-60.935267,ChIJR8rjajwTtZUR9R4bm91KSCw
BERESVIL REPUESTOS,car_repair,29,-31.4487144,-60.935267,ChIJBQOdAz0TtZURsYAmRI8nTp8
La Boutique de las artesanías,,0,-31.4487042,-60.935427,ChIJiXVbazwTtZURcpNOlGa3L8k
Engler Gas Repuestos,,4,-31.4481124,-60.935216,ChIJrZNMFjwTtZURlRLVyqRoGm0
Renovate Indumentaria,clothing_store,0,-31.4486446,-60.9356197,ChIJk0p6OWUTtZURnpUf82328gQ
Corralón 8 De Septiembre,,0,-31.4488431,-60.9354887,ChIJQTFXazwTtZURmn33KzGmknU
Ospedyc boca de expendio,,0,-31.4486406,-60.9356377,ChIJD1EVTmITtZURScUnwSB-0tU
Francisco Hessel E Hijos Sa,,0,-31.453283,-60.9347366,ChIJ3cFKBT0TtZURZuqB5hfi3Qo
MECANICA SCOTTI,car_repair,3,-31.4529571,-60.9346407,ChIJld6ASE4TtZURde3z61X14rw
Curso de Peluquería Canina,,0,-31.4527649,-60.9344461,ChIJtWIOAkwTtZURbnH-7ZX5el8
CAMPAGNOLO AUTOMOTORES,car_dealer,15,-31.4528422,-60.9341689,ChIJQRt0LyMTtZUR-dAF_PE1yIM
Aceites En Esperanza,,0,-31.453283,-60.9347366,ChIJKyVgOSMTtZURsTqjJ0Vy4ig
Sertec Servicio Tecnico,,29,-31.451833,-60.934353,ChIJBy1NAz0TtZURlWUnCNO-KNY
Peluqueria freak,hair_care,56,-31.4516385,-60.934537,ChIJy33hddwTtZURsTjU4GjDzCc
