Name,type,ratings,latitude,longitude,place_id
# TYPE NULO
Establecimiento La LAURA,,18,-31.452317,-60.935399,ChIJyZmgXtkTtZUR5K7pVLbBV2E
Registro Seccional 2 Esperanza,,33,-31.4506238,-60.9353451,ChIJ6fpxkjwTtZURIjR8wjtQ6D0
FM 101.1 Ciudad,,8,-31.4497607,-60.9349068,ChIJQ9B1XzwTtZURbweszG5lFaY
Sertec Servicio Tecnico,,29,-31.451833,-60.934353,ChIJBy1NAz0TtZURlWUnCNO-KNY
Osprera,,10,-31.4507321,-60.9344951,ChIJEwDP6DwTtZURVb7AR4Swcc4
Sociedad de Bioquimicos del Dto Las Colonias,,5,-31.4481877,-60.9344626,ChIJ_zykMDwTtZURmgpvkZooDy0
Armeria Alpha,,14,-31.4480132,-60.9344567,ChIJpZYVOjwTtZURJ7oZTTiC3I8
Eres Mi Sol. Tienda Infantil.,,12,-31.448128,-60.934038,ChIJW-WGNjwTtZUR5rGXCcrg9es
Jinés Tiempo Libre,,8,-31.4473987,-60.9348332,ChIJLx_r0F4TtZURZzCo_Wa0WCA
PAMI - INSSJYP,,34,-31.4477258,-60.9348317,ChIJm54SIzwTtZURW-5bNq5tvKI
Jos Van Tour,,8,-31.4463041,-60.9340701,ChIJBQOdAz0TtZURCm7JCAKj0-Y
Imprenta y Sellos Graffiti,,12,-31.452334,-60.9334989,ChIJBQOdAz0TtZURyqaJ5eOvHn8
Esperanza Ink,,5,-31.4508191,-60.9338175,ChIJAbm-keATtZURU1RJ1K1aoF8
CSC RADIO FM 106.5,,28,-31.4463726,-60.9337527,ChIJvxEnwhcTtZURrn3HcAyHEpY
JP PRODUCTOS,,5,-31.4454137,-60.9338864,ChIJMWCJuk4TtZUREyK0ENy9TbQ
Cf Estudio - de Adrian Fontanini,,5,-31.4534482,-60.9328158,ChIJWwDs6CITtZUR86OS4AloHos
Agrimaq,,5,-31.4519775,-60.9329224,ChIJX6FdV_0RtZURHItvux1mU4E
SUMIAGRO,,11,-31.4488374,-60.932575,ChIJHcTcoz0TtZURgm755mnEktA
Chacinados Tacural SRL,,22,-31.4489553,-60.932349,ChIJDfb30xcTtZURctO6V84Ipxg
Aromas & Sabores Reutemann,,277,-31.4493757,-60.9320933,ChIJDfb30xcTtZUR8bpQsWR-TJ4
Pepelopo Cumple,,46,-31.4494692,-60.9320195,ChIJAbJ5cz0TtZUR6WtcB6VPPPk
Mutual Alma Juniors,,132,-31.448552,-60.932464,ChIJe9Pboj0TtZURuvGb4ZZUmHo
Al Divino Boton,,6,-31.4486561,-60.9322786,ChIJDfb30xcTtZURsATDtMiJxEU
APC Accesorios Para Celulares,,10,-31.4485118,-60.931767,ChIJvWjNDRYTtZURLORbbnnpgkk
Fundación Ramseyer Dayer - Espacio de Arte,,29,-31.447622,-60.9323712,ChIJBy1NAz0TtZURa0El-WWrO-s
Terminal de Ómnibus de Esperanza,,1132,-31.4533851,-60.9313443,ChIJc7zOhCITtZURtIq5YQ27IEY
Papelera San Martin,,5,-31.4527045,-60.9316053,ChIJBy1NAz0TtZUR3kp7_UNiA4g
Tarjeta Naranja,,68,-31.4514941,-60.9311253,ChIJ10FTUz0TtZURqTfY6UMyrPs
Bazar Mediterraneo de Raquel Alvarez,,52,-31.4515634,-60.9313052,ChIJBy1NAz0TtZURC27tfpFtJSA
Rotulate,,5,-31.4514521,-60.9313732,ChIJP7m6Vj0TtZURzNWMF7r8gE0
TENIENTE DAN,,7,-31.4497176,-60.9315276,ChIJtYVIQCATtZURjHEThWDX6kA
Cremolatti,,256,-31.4489704,-60.9314857,ChIJxXBWnT0TtZURSU-zj9CvOcM
Centro Color Fotografia - Filmacion,,15,-31.4484146,-60.9311977,ChIJoy-1hT0TtZURrMUcDE7Ns6U
Organizacion Marcuzzi - Asesores de Seguros,,12,-31.453828,-60.9308159,ChIJ3cFKBT0TtZURRV82AqJPRIc
