Name,type,ratings,latitude,longitude,place_id
"La Laura"Fiambreria,shopping_mall,7,-31.4522664,-60.9354269,ChIJqzARKWATtZURvE5E8N6Tz4o
Urbano Cortes Peluqueria Masculina,hair_care,5,-31.4525653,-60.9353773,ChIJEai6TCMTtZURuJINwB-8KMA
ALDANA BERTOLOTTI,clothing_store,0,-31.452559,-60.9353377,ChIJAVzE7GwTtZURnvMbFj3nN-E
Be'llos Panadería Artesanal,bakery,5,-31.4526349,-60.9353604,ChIJQayoTyYTtZURyqjQKLyN7Kk
Picotea,clothing_store,5,-31.4519213,-60.9362144,ChIJ5xyEpjwTtZURpMOYAi2ly50
Fapp - Feria Americana para Peques,clothing_store,66,-31.4512619,-60.93581,ChIJVdu4VoYTtZURCFBcOcvsO_g
Maurinik,bar,6,-31.4524239,-60.9349564,ChIJnZv1gocTtZURPiUAAsuPK1s
Hogar Limpio Hogar,home_goods_store,0,-31.453092,-60.9353342,ChIJxSix42oTtZURWd1H-tqnKLA
Marisa,clothing_store,1,-31.4505861,-60.9352146,ChIJgTqakjwTtZURXz56MdOGGug
HOGAR VIRGEN DEL ROSARIO DE SAN NICOLAS,lodging,0,-31.4505861,-60.9352146,ChIJW6MRc4YTtZURQ-L1y-uQ5KE
Cruzmar SRL,travel_agency,26,-31.4507949,-60.9348447,ChIJBy1NAz0TtZUR56o3lRQIoG8
Bunker Big Box,gym,16,-31.4497293,-60.935048,ChIJ3cXPXzwTtZURZ5KF__9E-uU
Buril Joyeria Artesanal,jewelry_store,3,-31.4496816,-60.9351842,ChIJv_iU0boTtZURH4Dj5H8lf1M
RANDOM SPORT,clothing_store,1,-31.4497254,-60.9349152,ChIJkYIqdgoTtZURIkZ6PeMDYO8
Maskots,veterinary_care,2,-31.4496415,-60.9352849,ChIJ16jZNS0TtZUR3Mnsw4-QWOs
Estudio Jurídico Kröhling,lawyer,1,-31.449745,-60.934827,ChIJbUnuPV0HtZURHE23IChyDTE
Veterinaria Doble M,veterinary_care,71,-31.4502031,-60.9347691,ChIJU1WfCTwTtZURIcyAqoiX9JE
Artística IluminArte,book_store,6,-31.4499693,-60.9356422,ChIJk0AC1EITtZURQ7ghtlG6fx8
ANSES,local_government_office,60,-31.4492999,-60.9353176,ChIJhcQGZDwTtZURantKhCJl6xk
Arcoíris Pañalera,diaper_service,10,-31.4485801,-60.9352257,ChIJNVlzRowTtZURxEJyc8oMAdE
Rincon Criollo,grocery_or_supermarket,4,-31.4483954,-60.9351688,ChIJ21mbTTUTtZURvrqVt_wV874
BERESVIL REPUESTOS,car_repair,29,-31.4487144,-60.935267,ChIJBQOdAz0TtZURsYAmRI8nTp8
Renovate Indumentaria,clothing_store,0,-31.4486446,-60.9356197,ChIJk0p6OWUTtZURnpUf82328gQ
MECANICA SCOTTI,car_repair,3,-31.4529571,-60.9346407,ChIJld6ASE4TtZURde3z61X14rw
CAMPAGNOLO AUTOMOTORES,car_dealer,15,-31.4528422,-60.9341689,ChIJQRt0LyMTtZUR-dAF_PE1yIM
Peluqueria freak,hair_care,56,-31.4516385,-60.934537,ChIJy33hddwTtZURsTjU4GjDzCc
Panificadora Castelli,bakery,38,-31.4507571,-60.9345296,ChIJ74nZ6DwTtZURWUZIsnOwYaA
El Siglo,clothing_store,1,-31.4498759,-60.9343132,ChIJVcrmEfITtZURRZoD3w3q-Uw
Girl power,clothing_store,0,-31.4496398,-60.9344141,ChIJ7cTLGpgTtZURdqT3dC2AYRI
Manjares,meal_takeaway,120,-31.4489292,-60.9343784,ChIJZYYIVxETtZURWF9_a16A86I
Establecimiento La posta,clothing_store,0,-31.4489379,-60.9343811,ChIJKzDMHxwTtZURzDtaEW2AZqU
Monaco,clothing_store,19,-31.4487736,-60.9343132,ChIJQV9CTzwTtZURNaTOkD-a8j4
La Pinoteca Esperanza,furniture_store+home_goods_store,0,-31.4488456,-60.9346676,ChIJ2eXulNETtZUR_uzQoPkwgDE
Muebleria Massi Srl,furniture_store+home_goods_store,1,-31.4488456,-60.9346676,ChIJExITRDwTtZURuw2EtZ-bCp4
Dakota,clothing_store,1,-31.4490088,-60.9341065,ChIJbRjdUTwTtZURg0V0Wsd6VbE
Arena Y Cia,liquor_store,19,-31.4478395,-60.934703,ChIJDfb30xcTtZURVe7AG3DzmtU
Pastas Iris esperanza,grocery_or_supermarket,9,-31.4474951,-60.9348797,ChIJG496ITwTtZURcmFvGvkqVxI
El Almacén,grocery_or_supermarket,0,-31.4475195,-60.9348879,ChIJDbP2ioYTtZURseSpNF9dTxs
El almacén,grocery_store,0,-31.4475195,-60.9348879,ChIJ4fExVgETtZURVplKa3Zzyb0
PETRO SANTAFESINA S.A,gas_station,0,-31.4529171,-60.9337805,ChIJDfb30xcTtZURUyGL6w-qwqY
MunarriZ,lodging,10,-31.4525681,-60.9337217,ChIJGynBKSMTtZURVJgLmahVbzc
Shell,gas_station,166,-31.452852,-60.9338585,ChIJdWSDKCMTtZURonUPmc1mNk8
casi todo polirubro,shopping_mall,0,-31.4526572,-60.9340104,ChIJGZZulpgTtZURhlZQ7hfyxLo
Tiendas Gangas,clothing_store,9,-31.4521315,-60.9335545,ChIJJcXE1CITtZURbCIWBvUR3n4
Academia Luluat,gym,10,-31.4519041,-60.9333647,ChIJAcJ0Kz0TtZURCA7BtcQfdBg
Jardin MATERNAL MIMITO'S,nursery_school,1,-31.4508191,-60.9338175,ChIJW3rP4DwTtZUR1_jX4Lly8aU
Consultorios Medicos San Juan,doctor,0,-31.44982,-60.9336916,ChIJ3cFKBT0TtZUR16luuYPkV40
Vinoteca Los Cortesanos,bar,115,-31.4490871,-60.933526,ChIJj52CrD0TtZURG5Lq8235Aq8
Jardin Maternal Mimitos,nursery_school,1,-31.449207,-60.9336362,ChIJD4eCXtATtZURoVC98YWGauM
Grupo Nasimbera,insurance_agency,6,-31.449181,-60.933465,ChIJiU5fRTwTtZURKvG348-km-8
Sueños Suaves Blancos y más,poultry_store,1,-31.4491981,-60.933975,ChIJq8kAiGETtZURtJTet3wTgn4
El 10 Salón Masculino,hair_care,117,-31.4489177,-60.933552,ChIJrapqrT0TtZURki1WTvK1LgE
Amelia Joyas,jewelry_store,3,-31.4494142,-60.9334413,ChIJa2eOXjgTtZURMenV_dhl2RE
CPN Carlos Alberto Correa & Asociados,accounting,0,-31.449199,-60.9332856,ChIJ8crYqz0TtZURTScK9q0WQII
Ideas de temporada,clothing_store,22,-31.4492941,-60.9332777,ChIJh5BfqT0TtZURdWzDTjhnNuI
VALKIRIA,clothing_store,2,-31.4483058,-60.9334732,ChIJt9UGtT0TtZURcli32hcTZrM
Club Bocha Esperancino,bar,20,-31.4484008,-60.9333693,ChIJCy0lAzwTtZURrJuvtny1dh8
Ortopedia Kinen Sucursal Esperanza,shoe_store,3,-31.4484361,-60.9332977,ChIJ2yABtD0TtZURiOoSwpHvaj8
Gimnasio Sol Gym,gym,24,-31.4487169,-60.9333612,ChIJixymWF4TtZURMjUFemBtokc
EstoyCerca.com.ar,grocery_or_supermarket,2,-31.4472465,-60.9337799,ChIJ3RQTRooTtZURgS6UQQ-gzQ0
Dionisiaindumentaria,clothing_store,0,-31.4457232,-60.9333813,ChIJvQuEaIETtZUR_mvqgEQizJw
La Mansión,night_club,0,-31.451162,-60.9327335,ChIJEf9fOj0TtZUROpOZysA9c_A
Zapateria Saliern,shoe_store,0,-31.451082,-60.9325221,ChIJ2-WOOT0TtZUR2Iedev_oawY
