Google_Maps_type,Google_Place_type,Activity_type,Area,Covered_area,Workers_place,Workers_area,Chance_1,Chance_2,Chance_3,Chance_4,Chance_5
accounting,accounting,3,100,90,0,20,0,2,3,3,1
art_gallery,art_gallery,2,150,80,4,0,0,1,2,3,2
art_center,art_gallery,,,,,,,,,,
association_or_organization,association_or_organization,3,240,80,0,30,0,2,2,3,2
non_profit_organization,association_or_organization,,,,,,,,,,
non_governmental_organization,association_or_organization,,,,0,15,,,,,
political_party,association_or_organization,,150,80,0,15,,,,,
atm,atm,3,50,100,2,0,3,6,10,12,14
bakery,bakery,3,100,70,0,60,20,14,16,16,18
wholesale_bakery,bakery,,,,,,,,,,
bank,bank,3,350,80,0,40,1,2,5,6,4
bar,bar,2,120,80,0,20,5,8,10,7,3
beauty_salon,beauty_salon,2,100,100,0,20,1,6,8,4,2
beautician,beauty_salon,,,,,,,,,,
tanning_studio,beauty_salon,,,,,,,,,,
stylist,beauty_salon,,60,100,0,30,,,,,
makeup_artist,beauty_salon,,60,100,0,30,,,,,
bicycle_store,bicycle_store,3,100,90,0,40,10,8,4,2,0
bicycle_repair_shop,bicycle_store,,60,90,,,,,,,
book_store,book_store,3,80,90,3,0,12,10,6,4,2
office_supply_store,book_store,,120,90,5,0,,,,,
stationery_store,book_store,,120,90,6,0,,,,,
pen_store,book_store,,,,,,,,,,
copy_shop,book_store,,,,,,,,,,
commercial_printer,book_store,,,,,,,,,,
paper_store,book_store,,,,,,,,,,
bus,bus,3,30,100,1,0,40,20,15,10,5
bus_station,bus_station,2,4200,60,0,60,2,3,5,4,2
cafe,cafe,3,100,90,0,20,2,7,12,15,10
cafeteria,cafe,,,,,,,,,,
campground,campground,2,20000,10,2,0,6,4,4,3,2
car_dealer,car_dealer,3,400,80,0,25,0,1,2,3,1
truck_dealer,car_dealer,,500,50,,,,,,,
motor_vehicle_dealer,car_dealer,,,,,,,,,,
motorcycle_dealer,car_dealer,,100,90,0,20,,,,,
car_repair,car_repair,3,120,80,0,20,0,2,4,6,2
auto_repair_shop,car_repair,,,,,,,,,,
car_service,car_repair,,,,,,,,,,
vehicle_inspection,car_repair,,260,80,,,,,,,
car_wash,car_wash,3,120,60,0,20,0,2,4,6,2
car_detailing_service,car_wash,,,,,,,,,,
casino,casino,2,1000,100,0,20,0,2,4,6,8
race_course,casino,,4000,0,8,0,,,,,
cemetery,cemetery,3,85000,10,4,0,1,1,2,4,6
church,church,2,1500,80,6,0,7,3,3,7,14
cathedral,church,,2000,80,10,0,,,,,
place_of_worship,church,,,,,,,,,,
religious_institution,church,,,,,,,,,,
clothing_store,clothing_store,3,100,100,0,20,10,15,15,10,6
childrens_clothing_store,clothing_store,,80,100,,,,,,,
club,club,2,2500,70,0,80,15,12,7,7,5
construction_company,construction_company,1,100,80,0,15,0,0,0,0,0
contractor,construction_company,,,,,,,,,,
building_firm,construction_company,,,,,,,,,,
housing_development,construction_company,,,,,,,,,,
home_builder,construction_company,,,,,,,,,,
housing_cooperative,construction_company,,,,,,,,,,
convenience_store,convenience_store,3,80,100,0,20,20,30,50,70,45
grocery_or_supermarket,convenience_store,,,,0,40,,,,,
butcher_shop,convenience_store,,,,,,,,,,
poultry_store,convenience_store,,70,90,,,,,,,
fish_store,convenience_store,,70,80,,,,,,,
fruit_and_vegetable_store,convenience_store,,50,60,,,,,,,
health_food_store,convenience_store,,,,,,,,,,
grocery_store,convenience_store,,,,0,30,,,,,
market,convenience_store,,,,0,30,,,,,
farm,convenience_store,,,,,,,,,,
farmers_market,convenience_store,,,,,,,,,,
fresh_food_market,convenience_store,,,,,,,,,,
cold_cut_store,convenience_store,,,,,,,,,,
corporate_office,corporate_office,1,750,80,0,15,0,0,0,0,0
radio_broadcaster,corporate_office,,150,100,,,,,,,
software_company,corporate_office,,250,100,0,10,,,,,
web_hosting_service,corporate_office,,250,100,0,30,,,,,
manufacturer,corporate_office,,1000,80,,,,,,,
media_company,corporate_office,,250,90,,,,,,,
news_service,corporate_office,,250,90,,,,,,,
newspaper_publisher,corporate_office,,250,100,,,,,,,
television_station,corporate_office,,500,80,,,,,,,
engineering_consultant,corporate_office,,250,80,,,,,,,
electric_utility_company,corporate_office,,250,80,,,,,,,
agricultural_service,corporate_office,,400,80,0,20,,,,,
agrochemicals_supplier,corporate_office,,600,80,0,20,,,,,
fertilizer_supplier,corporate_office,,300,80,0,20,,,,,
power_plant,corporate_office,,2000,10,6,0,,,,,
military_base,corporate_office,,2000,50,0,40,,,,,
coworking_space,corporate_office,,200,100,0,40,,,,,
packaging_company,corporate_office,,7000,80,0,100,,,,,
industrial_equipment_supplier,corporate_office,,1200,80,0,25,,,,,
construction_equipment_supplier,corporate_office,,2000,60,0,40,,,,,
electronics_company,corporate_office,,250,90,0,25,,,,,
machining_manufacturer,corporate_office,,600,90,0,30,,,,,
metal_construction_company,corporate_office,,2000,90,0,35,,,,,
food_producer,corporate_office,,1000,90,0,25,,,,,
brewery,corporate_office,,50000,80,0,50,,,,,
chemical_plant,corporate_office,,2000,80,0,30,,,,,
stock_broker,corporate_office,,250,90,0,15,,,,,
courthouse,courthouse,1,200,100,0,20,0,0,0,0,0
cultural_center,cultural_center,2,1600,80,0,40,3,8,12,10,8
convention_center,cultural_center,,1000,70,,,,,,,
community_center,cultural_center,,700,70,,,,,,,
retirement_community,cultural_center,,300,70,,,,,,,
dentist,dentist,3,50,100,3,0,3,2,2,2,3
denture_care_center,dentist,,100,100,,,,,,,
department_store,department_store,3,15000,80,0,80,7,10,15,15,10
doctor,doctor,3,60,100,4,0,4,2,2,4,6
medical_office,doctor,,,,,,,,,,
optometrist,doctor,,,,4,0,,,,,
nutritionist,doctor,,,,,,,,,,
health_consultant,doctor,,,,,,,,,,
psychologist,psychologist,3,60,100,4,0,2,2,2,1,1
meditation_center,psychologist,,,,,,,,,,
psychotherapist,psychologist,,,,,,,,,,
occupational_therapist,psychologist,,,,,,,,,,
mental_health_service,psychologist,,,,,,,,,,
drugstore,drugstore,3,60,100,2,0,30,25,20,20,15
kiosk,drugstore,,,,2,0,,,,,
ice_cream_shop,drugstore,,,,4,0,,,,,
money_transfer_service,drugstore,,,,,,,,,,
lottery_retailer,drugstore,,,,2,0,,,,,
lottery_shop,drugstore,,,,,,,,,,
betting_agency,drugstore,,,,2,0,,,,,
dessert_shop,drugstore,,,,4,0,,,,,
newsstand,drugstore,,20,0,1,0,,,,,
candy_store,drugstore,,,,,,,,,,
